dataset	pop	b1a	b1b	b2_b3
males	CRO	0.6	0.1	0.3
males	BRI	0.433333333333333	0.0333333333333333	0.533333333333333
males	MAH	0.0666666666666667	0.933333333333333	0.000
males	BRE	0.357142857142857	0.642857142857143	0.000
males	AYT	0.272727272727273	0.727272727272727	0.000
males	FOU	0.133333333333333	0.866666666666667	0.000
females	CRO	0.6	0.35	0.05
females	BRI	0.333333333333333	0.3	0.366666666666667
females	MAH	0.275862068965517	0.724137931034483	0.000
females	BRE	0.153846153846154	0.730769230769231	0.115384615384615
females	AYT	0.225806451612903	0.709677419354839	0.0645161290322581
females	FOU	0.2	0.733333333333333	0.0666666666666667
all	CRO	0.6	0.225	0.175
all	BRI	0.383333333333333	0.166666666666667	0.45
all	MAH	0.169491525423729	0.830508474576271	0.000
all	BRE	0.259259259259259	0.685185185185185	0.0555555555555556
all	AYT	0.25	0.71875	0.03125
all	FOU	0.166666666666667	0.8	0.0333333333333333
